original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector,location
NULL,bf7254a9-e4b3-419f-8fcc-7232bacc607d,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,88c3bd4c-bbf4-48d1-ae73-fdce178b5fa4,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
 ANX2021-002,70362d73-4f8e-4c83-b31d-79e5f4556151,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, Sunset Avenue Apartments,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Multi-Family Residential , APN: 0037-030-200
 DR2020-004,a8b63bd0-9bbf-42f4-ad24-749281531639,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, Village IIA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Single-Family Subdivision, APN: 0170-050-090
 DR2021-013,e3fce5c7-20c6-476e-a43a-dcebc7e54e6f,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, Green Valley 3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Multi-Family Residential," 4840 Business Center Dr. 
(APN: 0148-540-350) "
 DR2021-016,2bfefb87-7ec8-4360-94cd-9677032513d7,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, 80-12 Industrial Center ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Industrial," 300 Chadbourne Rd. 
(APN: 0028-750-290)"
 DR2021-017,72076008-567c-430f-9f02-b05c4460706b,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, Sunset Avenue Apartments ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Multi-Family Residential , APN: 0037-030-200
 DR2021-020,21257541-5313-4ef2-bc01-e360bec549e0,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, Planning Area 1 Development 1: Townhomes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Multi-Family Residential," 5005 Peabody Rd. 
(APN: 0166-110-120) "
 DR2021-021,2c283eab-8150-4ea3-9708-9c8b1e1662ad,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, West Texas Street Mixed-Use,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Mixed-Use ,   1348 W Texas St.(APN: 0031-160-150) 
 DR2022-003,7866e8bc-ea97-4179-8e10-ac04886dc75b,NULL,NULL,NULL,"https://www.fairfield.ca.gov/government/city-departments/community-development/planning-division/development-activity?locale=en,https://www.fairfield.ca.gov/government/city-departments/public-works/capital-improvement-projects",NULL,NULL, Train Station Specific Plan Planning Area 1 MPUD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL, Community Design Plan," 5005 Peabody Rd. 
(APN: 0166-110-120) "
