original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector
NULL,f5340650-5cc2-4106-ac03-8846c40a9c74,NULL,NULL,NULL,NULL,NULL,NULL,"Dominican Residential Development
APN 015-163-03",Subdivision and residential development of a 21 acre site at the intersection of Magnolia Ave and Deer Park Ave,Incomplete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,39ef8bca-c43a-4959-8e7b-b159e93ac6bf,NULL,NULL,NULL,NULL,NULL,NULL,"Northgate Town Square
5800 Northgate Dr
District: 4","Redevelopment of Northgate Mall into an open-air 'main street experience', surrounded by mixed-use development of retail and approximately 1,320 residences.",Under Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,08bc26f4-1b72-49c3-98c0-31d73a83ad06,NULL,NULL,NULL,NULL,NULL,NULL,Wildcare,"Redevelopment  Wildcare facilities with new animal hospital, educational, and animal housing facilities.",Incomplete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,c585050e-8ffe-4a54-9e19-2d779061cbfe,NULL,NULL,NULL,NULL,NULL,NULL,"50 Merrydale Apartments
District: 3",Subdivision of the existing lot and a new multifamily residential building,Incomplete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5de4d1a9-9f0a-4b50-a214-14b70ccb0a86,NULL,NULL,NULL,NULL,NULL,NULL,"4th and Grand Apartments
District: 3",six-story multifamily residential building,SB 35 NOI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,c70908d7-3e7f-409e-a67d-1eaad221a329,NULL,NULL,NULL,NULL,NULL,NULL,"52 Fremont Rd: Urban Lot Split
District 2",Urban Lot Split (SB 9) to create two new lots and construct two units on each lot,"SB 9
Pre-App",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,d4482306-016f-4b11-ba1b-d49488be3b1e,NULL,NULL,NULL,NULL,NULL,NULL,"88 Vivian Street
District:1",70 for sale townhomes,"Approved
5/10/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,26e84574-9294-4f9f-9931-12e5e6644a16,NULL,NULL,NULL,NULL,NULL,NULL,350 Merrydale Town Home Development,45 for-sale town homes development,"Approved
 ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3b5f406b-96a0-4d4b-a178-9b5b7ef76cd3,NULL,NULL,NULL,NULL,NULL,NULL,703 3rd Mixed Use Development,"Construct a 6-story, 73'-tall, mixed-use building with 120 rental units or apartments",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,b5d090c9-3c98-43da-991a-a104e3c25ccc,NULL,NULL,NULL,NULL,NULL,NULL,"703 3rd Street - 119 -Unit Residential
District:2",eight-story residential building,SB 35 NOI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,144843d9-3d68-474f-bd07-69e61452caba,NULL,NULL,NULL,NULL,NULL,NULL,"800 Mission Aegis (Formerly Known as 1203 Lincoln)
District: 1",New assisted living facility with 103 suites.,"Approved
12/14/21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,fbceb1fb-a1ef-405b-9551-4478ba55626a,NULL,NULL,NULL,NULL,NULL,NULL,"1515 Fourth Street Apartments
District: 2",Seven-story mixed-use building,Planning Commission Hearing on 4/11/2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,890f9246-a180-46ae-8037-c6f77b5bc6c1,NULL,NULL,NULL,NULL,NULL,NULL,3301 Kerner Temporary Emergency shelter,Temporary emergency shelter to allow for the redevelopment at the existing Homeward Bound location.,Under Construction,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,d4215044-4144-4c11-8edf-a8dcb1965b22,NULL,NULL,NULL,NULL,NULL,NULL,AC Marriott Hotel 1201 5th Ave,"Construction of a 54 feet tall, 140-room hotel building and associated parking and landscape improvements",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,78786951-094f-41dc-98bf-5681c42a7fe2,NULL,NULL,NULL,NULL,NULL,NULL,Airport Recreation Facility,,Under Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,54dfb1af-055f-44f6-a725-e46e2b66866d,NULL,NULL,NULL,NULL,NULL,NULL,"Aldersly: 308 & 326 Mission
District: 3",Phased improvements over the next ten years on the Aldersly Campus.,Under Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,23fe0386-4dbd-4cbc-ae2e-dac8d6a6c559,NULL,NULL,NULL,NULL,NULL,NULL,"BioMarin Office Building at 755 Lindaro
District: 1","New 72,400 square foot office building and parking garage expansion.","Approved
10/19/2015",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1399f229-1944-4bd8-971b-5dd64aa06b72,NULL,NULL,NULL,NULL,NULL,NULL,Biomarin/Vivalon 999 3rd St,"Construct two, four-story 72' tall buildings for the purposes of laboratory/R&D and general office spaces.","Approved
03/23/20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,c062b36a-5bf5-46d4-b244-9d993f3c9deb,NULL,NULL,NULL,NULL,NULL,NULL,"Brookdale Apartments
District: 1",10-Unit Multifamily Residential Apartments,"Approved
6/14/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5e9c7940-5a28-474c-981e-c9b4fb362d02,NULL,NULL,NULL,NULL,NULL,NULL,Hampton Inn and Suites 1075 Francisco,"185-room hotel that includes guest rooms and guest amenities including a breakfast dining area, meeting rooms, swimming pool fitness room, guest laundry area, and market.",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,37197860-a84f-4f37-b7c4-371d45b0a91e,NULL,NULL,NULL,NULL,NULL,NULL,"Los Gamos Apartments
District: 4",Mixed Use Multi-Family Apartment Project,"Approved
2/7/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,49ee8262-84dd-4e81-93f8-e8cc36f8b028,NULL,NULL,NULL,NULL,NULL,NULL,Marin Academy Aquatic Center,"Replacement and relocation of aquatic center, including with a new uncovered swimming pool, a two-story support building, and site improvements",Under Construction,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,78f0bd76-c802-431a-842c-7459b633daa2,NULL,NULL,NULL,NULL,NULL,NULL,Northgate Walk - 1005 & 1010 Northgate Dr.,"Construct a new 4-story, 30-unit, residential condominium and a two (2) new 4-story, residential condominium buildings with 48 and 58 units",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,cc2ca14d-e76a-4c2b-aa66-f9e13442dc0f,NULL,NULL,NULL,NULL,NULL,NULL,Ritter Center 800 & 804 A St,Use Permit for a Major Medical Facility Use for the Ritter Center from 16 Ritter Street to an existing building at 800 A Street,Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,283ebf56-2a5e-4871-a813-27275240cf86,NULL,NULL,NULL,NULL,NULL,NULL,"Ross Street Terrace Residential
APN: 012-141-59 and -60
District: 2",Construction of two new single family houses on vacant lots,Under Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,7473ddf6-1485-459c-a963-f30b1a0a823b,NULL,NULL,NULL,NULL,NULL,NULL,"San Rafael Inn
1580 Lincoln Ave
District: 1","New 46-room, 4-story, 44’ 9”-tall boutique hotel.",Incomplete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,506584d0-b299-4fad-b036-c42067dab210,NULL,NULL,NULL,NULL,NULL,NULL,"Tiscornia Marsh Restoration Project
District: 1",Restoration of Marsh,"Approved
1/11/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1877fa2f-02c0-4d63-bf01-8c554637e3d2,NULL,NULL,NULL,NULL,NULL,NULL,"The Village at Loch Lomond Marina Project
District: 3",Mixed Use Development,"Approved
8/6/07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
