action,original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,published_date,procurement_method,budget,currency,buyer,sector,subsector,location,last_modified_dt
insert,NULL,0b8ef7f9-24d3-4995-a8f3-d0d32283f9bf,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,3301 Kerner Temporary Emergency shelter,Temporary emergency shelter to allow for the redevelopment at the existing Homeward Bound location.,Under Construction,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,1a4d7eed-935a-40a7-b027-acdee22c6b29,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"Brookdale Apartments
District: 1",10-Unit Multifamily Residential Apartments,"Approved
6/14/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,24ac50fa-4490-4eb2-af8c-d04a2916fbfb,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"800 Mission Aegis (Formerly Known as 1203 Lincoln)
District: 1",New assisted living facility with 103 suites.,"Approved
12/14/21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,2d41f04b-cdf1-48a2-bef9-7b4717c875b3,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,Hampton Inn and Suites 1075 Francisco,"185-room hotel that includes guest rooms and guest amenities including a breakfast dining area, meeting rooms, swimming pool fitness room, guest laundry area, and market.",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,31594941-67a3-439a-9e73-d039d8b8ad59,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"The Village at Loch Lomond Marina Project
District: 3",Mixed Use Development,"Approved
8/6/07",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,389aac68-7a68-42ed-be4d-3fb4252bbd32,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,Northgate Walk - 1005 & 1010 Northgate Dr.,"Construct a new 4-story, 30-unit, residential condominium and a two (2) new 4-story, residential condominium buildings with 48 and 58 units",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,391943b3-a939-4a93-b561-6ceba303cbbc,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,AC Marriott Hotel 1201 5th Ave,"Construction of a 54 feet tall, 140-room hotel building and associated parking and landscape improvements",Approved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,3aae6eab-c2a5-4ac8-8370-3b1dc3bec195,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"703 3rd Street - 119 -Unit Residential
District:2",eight-story residential building,SB 35 NOI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,41d0b0c2-8ffb-45ae-9406-f981d4166f9f,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"Los Gamos Apartments
District: 4",Mixed Use Multi-Family Apartment Project,"Approved
2/7/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,42796e5b-b79d-4c5b-85dc-e66933d23111,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,Marin Academy Aquatic Center,"Replacement and relocation of aquatic center, including with a new uncovered swimming pool, a two-story support building, and site improvements",Under Construction,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,43314247-d856-4d4c-953a-1f3f3c02110b,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"Tiscornia Marsh Restoration Project
District: 1",Restoration of Marsh,"Approved
1/11/22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,443fd1f7-b8a3-4c1c-907f-f4a7b7b714dd,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,Biomarin/Vivalon 999 3rd St,"Construct two, four-story 72' tall buildings for the purposes of laboratory/R&D and general office spaces.","Approved
03/23/20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,49cf3e12-c474-41f0-b0ee-3032704f5a77,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"52 Fremont Rd: Urban Lot Split
District 2",Urban Lot Split (SB 9) to create two new lots and construct two units on each lot,"SB 9
Pre-App",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,546f5568-91cf-4a38-9fb0-8247d2e7190b,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,Wildcare,"Redevelopment  Wildcare facilities with new animal hospital, educational, and animal housing facilities.",Incomplete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
insert,NULL,5e114029-3021-46ab-b5dc-774b453e4eb0,NULL,NULL,NULL,https://www.cityofsanrafael.org/major-planning-projects-2/,NULL,NULL,"Dominican Residential Development
APN 015-163-03",Subdivision and residential development of a 21 acre site at the intersection of Magnolia Ave and Deer Park Ave,Under Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2024-08-14 09:22:06
